c1,s1,e1,c2,se,e2
15,100125998,100140599,15,28682754,28697567
15,100129570,100143942,15,28866141,28881332
15,100122441,100140599,15,30465314,30483554
15,100108129,100110303,15,30514908,30517026
15,100122441,100140599,15,30516912,30535895
15,100101215,100102862,15,30540186,30541649
15,100101215,100102862,15,30666417,30667881
15,100125998,100140599,15,30672183,30686970
15,100126115,100140397,15,32458374,32469849
15,100096037,100110303,15,32586708,32601128
15,100127501,100140397,15,32605142,32616070
15,100098119,100101638,15,80461376,80464680
15,100089926,100093923,15,80465309,80471182
15,100091215,100093923,15,80557939,80560777
15,100098119,100101638,15,80561434,80564672
15,100098119,100101638,15,80759294,80762550
15,100098119,100101638,15,80847918,80851213
15,100089926,100093923,15,80851842,80857717
15,100098119,100101638,15,80948018,80951265
15,100098119,100101638,15,82669367,82672602
15,100098119,100101638,15,83558457,83561710
15,100139555,100142380,15,88633580,88636391
15,100121941,100152120,15,98136837,98157985
15,100096037,100110748,15,98157484,98172166
15,100110700,100115392,15,100115393,100122549
15,100218755,100330295,19,11001,123445
15,100328843,100338514,16,34,9533
