n1 n2 p1 p2 chr
link_8632bundle hs2 234191093 234346688 chr2
link_8747bundle dm3r 19889511 20340823 chr2
link_8747bundle hs2 233099142 233153897 chr2
link_8833bundle dm3r 20226948 20340823 chr2
link_8833bundle hs2 175320571 175337427 chr2
link_8995bundle dm3r 21732754 21746289 chr2
link_8995bundle hs2 27275963 27288575 chr2
link_9406bundle dm3r 26874654 26878268 chr2
link_9406bundle hs2 232951592 233032984 chr2
link_9495bundle dm3r 27577531 27587299 chr2
link_9495bundle hs2 27275963 27288575 chr2
link_8828bundle dm3r 20226948 20340823 chr20
link_8828bundle hs20 61445109 61463192 chr20
link_6901bundle dm3r 2374758 2375705 chr21
link_6901bundle hs21 44783292 44942387 chr21
link_8314bundle dm3r 16469876 16733987 chr21
link_8314bundle hs21 29831125 30234211 chr21
link_8593bundle dm3r 19004801 19345167 chr21
link_8593bundle hs21 37918655 39118749 chr21
link_7024bundle dm3r 3951009 4093653 chr3
link_7024bundle hs3 128799943 130362826 chr3
link_8572bundle dm3r 18917449 18926705 chr3
link_8572bundle hs3 51992603 51998258 chr3
link_8781bundle dm3r 20098753 20104515 chr3
link_8781bundle hs3 38282335 38335068 chr3
link_7191bundle dm3r 5379411 5531165 chr4
link_7191bundle hs4 8018929 8529181 chr4
link_7366bundle dm3r 6696627 6698102 chr4
link_7366bundle hs4 100211152 100575548 chr4
link_7388bundle dm3r 6977691 7003679 chr4
link_7388bundle hs4 69085500 70548007 chr4
link_7379bundle dm3r 6977691 7003679 chr4
link_7379bundle hs4 115739414 115817463 chr4
link_7694bundle dm3r 8565384 8569344 chr4
link_7694bundle hs4 69085500 70548007 chr4
link_7745bundle dm3r 9120472 9138519 chr4
link_7745bundle hs4 111616678 111703938 chr4
link_8420bundle dm3r 17223588 17227539 chr4
link_8420bundle hs4 69085500 70548007 chr4
link_8630bundle dm3r 19358663 19364443 chr4
link_8630bundle hs4 69085500 70548007 chr4
link_8621bundle dm3r 19358663 19364443 chr4
link_8621bundle hs4 115739414 115817463 chr4
link_9453bundle dm3r 27219304 27221020 chr4
link_9453bundle hs4 69085500 70548007 chr4
link_7263bundle dm3r 5638507 5645599 chr5
link_7263bundle hs5 60083376 60119016 chr5
link_7346bundle dm3r 6585917 6586655 chr5
link_7346bundle hs5 156389109 156502499 chr5
link_7387bundle dm3r 6977691 7003679 chr5
link_7387bundle hs5 35988967 36102741 chr5
link_7693bundle dm3r 8565384 8684939 chr5
link_7693bundle hs5 35940157 36102741 chr5
link_7748bundle dm3r 9154787 9928562 chr5
link_7748bundle hs5 151131664 151765017 chr5
link_8512bundle dm3r 18357894 18750073 chr5
link_8512bundle hs5 60083376 60119016 chr5
link_8629bundle dm3r 19358663 19578552 chr5
link_8629bundle hs5 35988967 36337761 chr5
link_8778bundle dm3r 20098753 20104515 chr5
link_8778bundle hs5 131658044 131759204 chr5
link_9379bundle dm3r 26291774 26325944 chr5
link_9379bundle hs5 131555430 131591455 chr5
link_7912bundle dm3r 11068367 11072339 chr6
link_7912bundle hs6 31885376 31906010 chr6
link_8315bundle dm3r 16469876 16733987 chr6
link_8315bundle hs6 101953385 102624651 chr6
link_9052bundle dm3r 22274801 22694630 chr7
link_9052bundle hs7 44150395 44854255 chr7
link_6865bundle dm3r 2167723 2170818 chr8
link_6865bundle hs8 22626710 22841366 chr8
link_7576bundle dm3r 7385612 7392771 chr8
link_7576bundle hs8 82355326 82606105 chr8
link_8830bundle dm3r 20226948 20340823 chr8
link_8830bundle hs8 27373196 27392730 chr8
link_8835bundle dm3r 20226948 20340823 chr8
link_8835bundle hs8 42671719 42742776 chr8
link_9471bundle dm3r 27414390 27420449 chrX
link_9471bundle hsX 23631698 23694513 chrX
link_9576bundle dm4 711890 1217466 chr12
link_9576bundle hs12 54423331 56283465 chr12
link_9535bundle dm4 204842 1047720 chrX
link_9535bundle hsX 152436328 153355178 chrX
link_9935bundle dmX 4440553 4541447 chr1
link_9935bundle hs1 158603498 159604288 chr1
link_11125bundle dmX 17823074 17933532 chr1
link_11125bundle hs1 110861396 111019178 chr1
link_11348bundle dmX 20411908 20568353 chr1
link_11348bundle hs1 25098589 25164088 chr1
link_10044bundle dmX 5882845 5886677 chr10
link_10044bundle hs10 118177369 118394644 chr10
link_10380bundle dmX 9479918 9908312 chr10
link_10380bundle hs10 69843827 70831641 chr10
link_10955bundle dmX 16311269 16481160 chr10
link_10955bundle hs10 74805230 74925765 chr10
link_11114bundle dmX 17805496 17818199 chr10
link_11114bundle hs10 118177369 118394644 chr10
link_9625bundle dmX 330219 331475 chr11
link_9625bundle hs11 60727560 60775505 chr11
link_11207bundle dmX 19090091 19560908 chr11
link_11207bundle hs11 3775718 4308255 chr11
link_10086bundle dmX 6117094 6712189 chr12
link_10086bundle hs12 108705277 109842766 chr12
link_10341bundle dmX 9109912 9110400 chr12
link_10341bundle hs12 111829122 111933911 chr12
link_11118bundle dmX 17823074 17933532 chr12
link_11118bundle hs12 4789372 5026210 chr12
link_11245bundle dmX 19465181 19505226 chr12
link_11245bundle hs12 117071992 118116933 chr12
link_9622bundle dmX 148985 737246 chr14
link_9622bundle hs14 66043878 67188190 chr14
link_10265bundle dmX 8176990 8223711 chr15
link_10265bundle hs15 76644961 76720642 chr15
link_10803bundle dmX 15340211 15800285 chr15
link_10803bundle hs15 72141855 73382340 chr15
link_10160bundle dmX 6718671 6732283 chr16
link_10160bundle hs16 21382027 22385434 chr16
link_10452bundle dmX 10666577 11057245 chr16
link_10452bundle hs16 65143967 65343026 chr16
link_11220bundle dmX 19143108 20128157 chr16
link_11220bundle hs16 1901465 2519732 chr16
link_11395bundle dmX 21477122 21492131 chr16
link_11395bundle hs16 10628862 10696303 chr16
link_10000bundle dmX 5521686 5549760 chr17
link_10000bundle hs17 70431965 70457106 chr17
link_10512bundle dmX 11249914 11765199 chr17
link_10512bundle hs17 6267784 7358653 chr17
link_11394bundle dmX 21477122 21492131 chr17
link_11394bundle hs17 15147853 15185683 chr17
link_10427bundle dmX 10384098 11020840 chr19
link_10427bundle hs19 44050310 45179191 chr19
link_10825bundle dmX 15481766 15483399 chr2
link_10825bundle hs2 232951592 233032984 chr2
link_11315bundle dmX 20068245 20107456 chr2
link_11315bundle hs2 172252225 172313165 chr2
link_11396bundle dmX 21480382 21494731 chr2
link_11396bundle hs2 69476756 69518257 chr2
link_11346bundle dmX 20411908 20568353 chr21
link_11346bundle hs21 35081971 35343511 chr21
link_9826bundle dmX 2519051 2527386 chr22
link_9826bundle hs22 18763538 20201780 chr22
link_10253bundle dmX 8136517 8357418 chr22
link_10253bundle hs22 17497793 18309359 chr22
link_10664bundle dmX 13298789 13303249 chr22
link_10664bundle hs22 22629605 22714271 chr22
link_10989bundle dmX 16578244 16720529 chr22
link_10989bundle hs22 17141202 18748028 chr22
link_11018bundle dmX 16705733 17044680 chr22
link_11018bundle hs22 22438021 23354972 chr22
link_11338bundle dmX 20310368 20340823 chr22
link_11338bundle hs22 22629605 23653545 chr22
link_10068bundle dmX 6088821 6113327 chr3
link_10068bundle hs3 15618253 15662328 chr3
link_10442bundle dmX 10666577 11057245 chr3
link_10442bundle hs3 32255175 32587346 chr3
link_10753bundle dmX 14736648 14817522 chr3
link_10753bundle hs3 53826683 53855216 chr3
link_11039bundle dmX 16985887 16998597 chr5
link_11039bundle hs5 150636516 150852132 chr5
link_10066bundle dmX 6088821 6113327 chr6
link_10066bundle hs6 133044438 133126291 chr6
link_10322bundle dmX 8980018 8983278 chr6
link_10322bundle hs6 26705159 26708257 chr6
link_11347bundle dmX 20411908 20568353 chr6
link_11347bundle hs6 45404032 45626796 chr6
link_11314bundle dmX 20068245 20107456 chr7
link_11314bundle hs7 95239802 95565671 chr7
link_10362bundle dmX 9169683 9177132 chr8
link_10362bundle hs8 144719505 145456704 chr8
link_11313bundle dmX 20065478 20097053 chr8
link_11313bundle hs8 124762216 124818828 chr8
link_10014bundle dmX 5632694 5641257 chrX
link_10014bundle hsX 134482250 134822886 chrX
link_10468bundle dmX 10726782 10741125 chrX
link_10468bundle hsX 100973741 102234683 chrX
link_10838bundle dmX 15598158 15599774 chrX
link_10838bundle hsX 153767829 154341527 chrX
